date,index_value,air_quality_category
2026-04-01,113.0,Moderate
2026-04-02,194.0,Moderate
2026-04-03,266.0,Poor
2026-04-04,137.0,Moderate
2026-04-05,134.0,Moderate
2026-04-06,135.0,Moderate
2026-04-07,114.0,Moderate
2026-04-08,93.0,Satisfactory
2026-04-09,101.0,Moderate
2026-04-10,151.0,Moderate
2026-04-11,123.0,Moderate
2026-04-12,163.0,Moderate
2026-04-13,149.0,Moderate
2026-04-14,167.0,Moderate
2026-04-15,204.0,Poor
2026-04-16,226.0,Poor
2026-04-17,263.0,Poor
2026-04-18,152.0,Moderate
2026-04-19,258.0,Poor
2026-04-20,181.0,Moderate
2026-04-21,177.0,Moderate
2026-04-22,216.0,Poor
2026-04-23,176.0,Moderate
2026-04-24,226.0,Poor
2026-04-25,243.0,Poor
2026-04-26,222.0,Poor
2026-04-27,197.0,Moderate
2026-04-28,239.0,Poor
2026-04-29,183.0,Moderate
2026-04-30,148.0,Moderate
